"Gene","coef","HR","se_coef","z","p_value"
"C9orf72",-0.153369103978096,0.85781304116499,0.210712181270489,-0.727860644094501,0.46669889687444
"EPM2AIP1",-0.0306497545572429,0.969815186947994,0.259973706396962,-0.117895594066127,0.906150384327986
"SERPINF2",-0.408741023271796,0.664486296527954,0.214834480958212,-1.90258575554871,0.0570946192914428
"DAPK1",-0.365322342049228,0.693972918168135,0.241805642697519,-1.51080983046462,0.130836909373562
"SMCHD1",-0.325467378580431,0.722189738736338,0.253956550484889,-1.28158686184311,0.199987611397174
"STAT2",-0.737188691322905,0.478457117204314,0.390367608026069,-1.88844739206352,0.0589659141334057
"MIR221",-0.643786855739966,0.525299419692089,0.282850487742024,-2.27606768819552,0.0228419586481564
"FRMD4A",-0.0982003408243622,0.906467283158753,0.320717168064015,-0.306189847637846,0.759460101852628
"TMEM87B",0.684977002939724,1.98372621514125,0.356928548611573,1.91908718314698,0.0549733012365334
