"Gene","HR","HR_lower","HR_upper","p_value","p_signif"
"C9orf72",0.522,0.345,0.789,0.002,"*"
"EPM2AIP1",0.705,0.52,0.956,0.0243,"*"
"SERPINF2",0.577,0.368,0.905,0.0165,"*"
"NKIRAS1",0.73,0.5,1.065,0.1027,""
"DAPK1",0.523,0.343,0.797,0.0026,"*"
"SMCHD1",0.623,0.414,0.936,0.0229,"*"
"STAT2",0.602,0.404,0.895,0.0121,"*"
"MIR221",0.522,0.32,0.852,0.0092,"*"
"FRMD4A",0.651,0.409,1.037,0.0707,""
"TMEM87B",0.765,0.56,1.045,0.0918,""
